elapsed_s,power_w,gpu_use_pct,vram_used_mb,vram_total_mb
79.839,73.02,100.0,1951.01953125,32768.0
80.2,73.029,100.0,1959.02734375,32768.0
80.559,82.07,100.0,1954.01953125,32768.0
80.931,84.04,100.0,2019.53125,32768.0
81.29,87.013,100.0,2016.76953125,32768.0
81.661,86.052,100.0,2028.75,32768.0
82.019,86.022,100.0,2036.734375,32768.0
82.381,83.034,100.0,2044.5859375,32768.0
82.738,91.041,100.0,1708.3203125,32768.0
83.117,93.031,100.0,1721.4765625,32768.0
83.477,89.018,100.0,1729.54296875,32768.0
83.836,87.027,100.0,1741.54296875,32768.0
84.196,85.006,100.0,1747.4296875,32768.0
84.556,83.083,100.0,1759.453125,32768.0
84.928,82.07,100.0,1767.45703125,32768.0
85.291,78.05,100.0,1759.38671875,32768.0
85.663,74.017,100.0,1771.3828125,32768.0
86.023,71.021,100.0,1779.37890625,32768.0
86.385,70.078,100.0,1777.88671875,32768.0
86.751,72.076,100.0,1851.8046875,32768.0
87.111,69.058,100.0,1859.8515625,32768.0
87.479,67.077,100.0,1871.83984375,32768.0
87.844,65.087,100.0,1879.83984375,32768.0
88.207,65.061,100.0,1891.8515625,32768.0
88.57,64.065,100.0,1898.0234375,32768.0
88.927,63.041,100.0,1906.0234375,32768.0
89.299,62.099,100.0,1918.0078125,32768.0
89.659,61.099,100.0,1926.015625,32768.0
90.021,61.077,100.0,1905.1484375,32768.0
90.381,73.003,100.0,1913.203125,32768.0
90.741,73.089,100.0,1921.203125,32768.0
91.099,77.019,100.0,1886.1484375,32768.0
91.465,81.037,100.0,1894.15234375,32768.0
91.83,84.025,100.0,1912.6953125,32768.0
92.196,84.086,100.0,1927.4296875,32768.0
92.563,85.062,100.0,1935.2265625,32768.0
92.931,83.064,100.0,1949.5078125,32768.0
93.302,84.037,100.0,1957.51171875,32768.0
93.661,84.063,100.0,1965.5078125,32768.0
94.022,83.005,100.0,1969.43359375,32768.0
94.382,83.066,100.0,1973.4375,32768.0
94.747,82.017,100.0,1981.4296875,32768.0
95.117,77.061,100.0,1973.8984375,32768.0
95.482,75.036,100.0,1981.89453125,32768.0
95.847,75.04,100.0,1989.890625,32768.0
96.212,74.08,100.0,1997.8828125,32768.0
96.575,78.09,100.0,2003.3359375,32768.0
96.944,76.061,100.0,2011.3203125,32768.0
97.307,75.046,100.0,1991.93359375,32768.0
97.677,75.082,100.0,1636.01953125,32768.0
98.042,74.024,100.0,1644.015625,32768.0
98.404,74.011,100.0,1652.01953125,32768.0
98.764,73.054,100.0,1664.01171875,32768.0
99.129,73.018,100.0,1668.0078125,32768.0
99.488,71.099,100.0,1676.01171875,32768.0
99.85,88.033,100.0,1688.00390625,32768.0
100.249,99.086,100.0,1673.97265625,32768.0
100.632,110.002,100.0,1681.98828125,32768.0
101.013,116.065,100.0,1689.98828125,32768.0
101.431,120.009,99.0,1698.0,32768.0
101.828,121.095,99.0,1709.98828125,32768.0
102.228,121.078,99.0,1717.94921875,32768.0
102.597,117.051,99.0,1725.984375,32768.0
102.968,111.003,100.0,1733.984375,32768.0
103.364,117.071,99.0,1741.98828125,32768.0
103.737,110.065,99.0,1749.984375,32768.0
104.105,118.082,99.0,1757.96875,32768.0
104.493,117.043,99.0,1765.98828125,32768.0
104.857,120.068,99.0,1777.984375,32768.0
105.251,124.069,99.0,1785.96484375,32768.0
105.629,124.005,99.0,1793.98046875,32768.0
106.023,129.011,99.0,1801.9765625,32768.0
106.426,132.01,99.0,1813.984375,32768.0
106.827,133.026,100.0,1821.9765625,32768.0
107.196,122.031,99.0,1829.96484375,32768.0
107.57,115.047,99.0,1837.9765625,32768.0
107.986,122.009,100.0,1845.9765625,32768.0
108.377,125.037,100.0,1853.984375,32768.0
108.784,127.011,99.0,1865.9765625,32768.0
109.205,126.025,99.0,1873.94140625,32768.0
