elapsed_s,power_w,gpu_use_pct,vram_used_mb,vram_total_mb
175.395,149.019,99.0,1729.54296875,32768.0
175.869,148.082,98.0,1741.55078125,32768.0
176.284,148.092,99.0,1743.48046875,32768.0
176.771,147.069,99.0,1755.46875,32768.0
177.288,147.049,99.0,1738.1015625,32768.0
177.765,147.043,99.0,1746.1015625,32768.0
178.204,147.085,99.0,1767.80859375,32768.0
178.694,147.078,99.0,1788.109375,32768.0
179.159,147.072,99.0,1798.72265625,32768.0
179.649,148.036,100.0,1810.72265625,32768.0
180.07,147.088,98.0,1822.72265625,32768.0
180.617,147.058,99.0,1803.38671875,32768.0
181.089,146.094,99.0,1815.38671875,32768.0
181.524,146.001,99.0,1827.38671875,32768.0
181.962,144.074,99.0,1839.37890625,32768.0
182.468,143.098,99.0,1483.47265625,32768.0
182.894,143.03,99.0,1491.43359375,32768.0
183.299,143.038,99.0,1500.5234375,32768.0
183.927,141.082,100.0,1508.49609375,32768.0
184.384,142.02,100.0,1524.5234375,32768.0
184.899,142.054,99.0,1546.62890625,32768.0
185.314,143.05,99.0,1569.71484375,32768.0
185.799,143.044,99.0,1682.29296875,32768.0
186.39,144.021,99.0,1699.16796875,32768.0
186.869,145.079,99.0,1717.296875,32768.0
187.363,146.028,99.0,1733.34375,32768.0
187.839,146.092,99.0,1741.3125,32768.0
188.331,147.001,99.0,1757.33984375,32768.0
188.825,145.093,99.0,1761.29296875,32768.0
189.334,145.054,99.0,1763.2265625,32768.0
189.812,144.091,99.0,1775.234375,32768.0
190.295,144.084,99.0,1782.921875,32768.0
190.736,145.008,99.0,1783.17578125,32768.0
191.234,144.066,99.0,1786.62890625,32768.0
191.738,143.054,99.0,1802.86328125,32768.0
192.237,143.011,99.0,1786.1875,32768.0
192.717,142.013,99.0,1830.6875,32768.0
193.191,140.093,99.0,1858.359375,32768.0
193.737,140.09,99.0,1870.3515625,32768.0
194.171,140.029,99.0,1878.35546875,32768.0
194.576,139.041,99.0,1890.35546875,32768.0
195.022,139.075,99.0,1875.5,32768.0
195.604,140.005,99.0,1891.47265625,32768.0
196.106,140.012,99.0,1903.45703125,32768.0
196.585,139.046,99.0,1907.44140625,32768.0
196.998,139.056,99.0,1915.98046875,32768.0
197.393,140.002,99.0,1822.36328125,32768.0
197.817,140.022,99.0,1830.87109375,32768.0
198.31,140.01,99.0,1829.0546875,32768.0
198.752,140.014,99.0,1844.99609375,32768.0
199.286,139.091,99.0,1836.953125,32768.0
199.711,139.079,99.0,1848.94921875,32768.0
200.105,140.022,99.0,1893.29296875,32768.0
200.512,140.014,99.0,1941.89453125,32768.0
200.969,140.016,99.0,1955.26953125,32768.0
201.407,139.089,99.0,1973.47265625,32768.0
201.892,140.016,99.0,1985.46484375,32768.0
202.282,140.014,99.0,1997.46875,32768.0
202.799,139.089,99.0,2009.46875,32768.0
203.207,140.026,99.0,2021.47265625,32768.0
203.6,140.027,99.0,2033.46875,32768.0
203.999,139.036,99.0,2041.48046875,32768.0
204.403,139.021,99.0,2049.453125,32768.0
204.796,138.093,99.0,2057.26953125,32768.0
205.19,138.029,99.0,2065.16015625,32768.0
205.586,137.06,99.0,2064.7109375,32768.0
205.962,136.081,99.0,2076.70703125,32768.0
206.36,137.009,99.0,2050.70703125,32768.0
206.762,135.041,99.0,2089.48828125,32768.0
207.159,133.009,99.0,2103.6796875,32768.0
207.555,130.061,99.0,2146.07421875,32768.0
207.913,128.08,99.0,2158.04296875,32768.0
208.283,125.043,99.0,2195.66015625,32768.0
208.658,118.086,99.0,2207.66015625,32768.0
209.023,116.045,99.0,2219.66015625,32768.0
209.394,113.025,100.0,2231.66015625,32768.0
209.757,110.086,100.0,2238.13671875,32768.0
210.123,108.009,99.0,2250.13671875,32768.0
210.494,105.065,99.0,2258.13671875,32768.0
210.861,103.042,99.0,2274.15234375,32768.0
211.239,101.042,99.0,2282.140625,32768.0
211.608,100.013,100.0,2290.1171875,32768.0
211.97,99.098,100.0,2302.09375,32768.0
212.335,99.048,100.0,1842.5546875,32768.0
212.703,98.017,99.0,1854.5546875,32768.0
213.064,96.02,99.0,1829.44140625,32768.0
213.428,94.079,99.0,1841.45703125,32768.0
213.8,94.097,99.0,1849.453125,32768.0
214.165,94.04,99.0,1859.22265625,32768.0
214.539,93.084,99.0,1887.03515625,32768.0
214.906,94.002,99.0,1892.8125,32768.0
215.281,93.067,99.0,1901.89453125,32768.0
215.646,93.041,99.0,1909.890625,32768.0
216.007,93.086,99.0,1921.89453125,32768.0
216.373,96.07,99.0,1933.89453125,32768.0
216.753,95.01,99.0,1943.89453125,32768.0
217.125,93.063,99.0,1955.89453125,32768.0
217.492,92.045,99.0,1967.88671875,32768.0
217.873,92.011,99.0,1979.890625,32768.0
218.243,92.019,99.0,1991.88671875,32768.0
218.607,92.03,99.0,2003.88671875,32768.0
218.973,92.029,99.0,2011.89453125,32768.0
219.333,91.023,99.0,2018.359375,32768.0
219.696,91.019,99.0,2026.359375,32768.0
220.07,91.012,99.0,2038.36328125,32768.0
220.436,90.038,99.0,2027.48046875,32768.0
220.795,90.088,99.0,2059.08984375,32768.0
221.164,92.021,99.0,2071.08984375,32768.0
221.523,93.08,100.0,2083.078125,32768.0
221.891,95.044,100.0,2115.875,32768.0
222.259,95.001,100.0,2123.8671875,32768.0
222.619,95.079,100.0,2120.671875,32768.0
222.984,97.049,100.0,2136.96875,32768.0
223.349,95.016,100.0,2140.6640625,32768.0
223.712,97.021,99.0,2148.6640625,32768.0
224.085,98.089,100.0,2160.66015625,32768.0
224.454,96.018,99.0,2168.65625,32768.0
224.818,95.069,100.0,2171.15234375,32768.0
225.175,96.061,99.0,2183.1484375,32768.0
225.546,100.025,100.0,2191.14453125,32768.0
225.916,100.01,99.0,2203.20703125,32768.0
226.279,99.039,99.0,2211.140625,32768.0
226.645,96.077,100.0,2223.12890625,32768.0
227.006,96.052,99.0,2248.12109375,32768.0
227.376,95.057,100.0,1826.796875,32768.0
227.74,96.018,100.0,1830.50390625,32768.0
228.112,96.084,100.0,1842.51953125,32768.0
228.483,95.036,99.0,1854.50390625,32768.0
228.851,95.095,99.0,1860.25,32768.0
229.212,93.09,99.0,1868.26171875,32768.0
229.572,91.053,99.0,1880.2578125,32768.0
229.948,89.078,100.0,1892.23046875,32768.0
230.313,86.085,100.0,1951.359375,32768.0
230.674,83.091,100.0,1956.34375,32768.0
231.037,81.028,100.0,2003.74609375,32768.0
231.406,85.038,100.0,2024.86328125,32768.0
231.771,80.084,100.0,2036.85546875,32768.0
232.137,88.057,100.0,2049.4609375,32768.0
232.514,97.054,100.0,2060.40625,32768.0
