elapsed_s,power_w,gpu_use_pct,vram_used_mb,vram_total_mb
20.683,96.075,100.0,2107.6015625,32768.0
21.048,87.071,100.0,2115.60546875,32768.0
21.412,78.075,99.0,2123.6015625,32768.0
21.771,75.062,99.0,2131.6015625,32768.0
22.147,97.071,100.0,2143.609375,32768.0
22.554,110.005,100.0,1703.69140625,32768.0
22.94,113.02,100.0,1711.70703125,32768.0
23.307,102.012,100.0,1723.75,32768.0
23.673,91.04,100.0,1731.75,32768.0
24.036,91.033,100.0,1739.8046875,32768.0
24.396,92.013,100.0,1751.78515625,32768.0
24.804,106.028,100.0,1763.74609375,32768.0
25.177,93.005,100.0,1771.83984375,32768.0
25.537,84.054,100.0,1783.83984375,32768.0
25.899,78.011,100.0,1791.8125,32768.0
26.268,90.007,100.0,1799.8359375,32768.0
26.675,107.081,99.0,1788.14453125,32768.0
27.084,118.008,99.0,1772.7734375,32768.0
27.48,108.074,99.0,1780.7734375,32768.0
27.846,106.048,100.0,1788.79296875,32768.0
28.214,102.029,100.0,1800.79296875,32768.0
28.583,100.058,100.0,1812.7890625,32768.0
28.949,108.002,100.0,1820.7890625,32768.0
29.396,107.02,100.0,1832.86328125,32768.0
29.758,95.003,100.0,1840.859375,32768.0
30.12,84.038,100.0,1852.859375,32768.0
30.494,80.091,100.0,1860.859375,32768.0
30.875,103.018,99.0,1872.859375,32768.0
31.269,115.029,99.0,1880.8515625,32768.0
31.656,116.024,100.0,1892.84765625,32768.0
32.023,106.084,100.0,1900.86328125,32768.0
32.387,97.054,100.0,1912.84765625,32768.0
32.753,98.038,100.0,1920.84765625,32768.0
33.112,98.079,100.0,1932.8515625,32768.0
33.473,110.017,100.0,1940.84765625,32768.0
33.844,99.009,100.0,1948.9375,32768.0
34.199,87.05,100.0,1960.921875,32768.0
34.558,78.081,100.0,1968.91796875,32768.0
34.915,89.032,100.0,1980.91796875,32768.0
35.316,110.028,99.0,1992.90625,32768.0
35.734,121.027,99.0,2000.9140625,32768.0
36.109,111.019,99.0,2008.9296875,32768.0
36.482,123.042,100.0,2020.921875,32768.0
36.864,114.086,100.0,2028.93359375,32768.0
37.228,112.013,100.0,2040.91796875,32768.0
37.592,124.007,100.0,1676.99609375,32768.0
37.958,126.07,100.0,1689.0078125,32768.0
38.321,129.023,100.0,1696.9921875,32768.0
38.687,132.035,100.0,1708.98828125,32768.0
39.122,123.039,100.0,1720.984375,32768.0
39.506,108.079,100.0,1728.984375,32768.0
39.867,94.029,100.0,1740.97265625,32768.0
40.226,83.078,100.0,1748.984375,32768.0
40.588,102.0,100.0,1760.98046875,32768.0
40.997,114.029,100.0,1768.984375,32768.0
41.391,119.09,100.0,1780.9765625,32768.0
41.759,116.072,100.0,1788.98046875,32768.0
